Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
1,CJ Abrams*,22,WSN,NL,58,215,201,22,45,9,2,6,29,6,2,8,47,.224,.271,.378,.649,80,76,5,5,1,0,0,*6/H,abramcj01
2,José Abreu,36,HOU,AL,64,269,246,18,54,8,0,3,29,0,1,17,64,.220,.275,.289,.564,57,71,7,3,0,3,1,*3/D,abreujo02
3,Ronald Acuna Jr.,25,ATL,NL,65,296,263,56,87,20,1,13,37,28,5,30,40,.331,.402,.563,.965,157,148,6,2,0,1,2,*9,acunaro01
4,Willy Adames,27,MIL,NL,56,237,207,27,43,7,0,10,28,4,2,24,63,.208,.289,.386,.676,85,80,6,1,0,3,0,*6/D,adamewi01
5,Riley Adams,27,WSN,NL,13,51,45,3,12,3,1,2,6,0,0,5,17,.267,.340,.511,.851,136,23,2,0,1,0,0,2,adamsri03
6,Jo Adell,24,LAA,AL,1,4,3,1,1,0,0,1,1,0,0,1,1,.333,.500,1.333,1.833,382,4,0,0,0,0,0,/9,adelljo01
7,Ehire Adrianza#,33,ATL,NL,5,11,10,0,0,0,0,0,0,0,0,1,4,.000,.091,.000,.091,-72,0,0,0,0,0,0,/H6,adriaeh01
8,Jesús Aguilar,33,OAK,AL,36,115,104,8,23,2,0,5,9,0,0,8,31,.221,.281,.385,.665,90,40,3,1,0,1,2,3/DH,aguilje01
9,Nick Ahmed,33,ARI,NL,36,109,104,10,23,5,0,2,12,4,0,5,25,.221,.257,.327,.584,60,34,0,0,0,0,0,6/HD,ahmedni01
10,Hanser Alberto,30,CHW,AL,30,90,82,11,18,5,0,3,16,0,0,4,13,.220,.261,.390,.652,77,32,1,1,2,1,0,54/31H,alberha01
11,Ozzie Albies#,26,ATL,NL,65,270,249,29,63,11,1,14,42,2,0,16,37,.253,.304,.474,.778,106,118,5,3,0,2,2,*4,albieoz01
12,Scott Alexander*,33,SFG,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,alexasc02
13,Greg Allen#,30,NYY,AL,10,17,14,5,3,0,1,1,1,1,0,1,7,.214,.313,.571,.884,139,8,0,1,1,0,0,/H879,allengr01
14,Nick Allen,24,OAK,AL,38,111,102,9,20,1,0,1,3,0,0,6,18,.196,.241,.235,.476,39,24,2,0,3,0,0,6/H4,allenni02
15,Pete Alonso,28,NYM,NL,62,261,229,41,53,4,1,22,49,2,0,27,51,.231,.326,.546,.872,139,125,6,5,0,0,0,*3/D,alonspe01
16,Jose Altuve,33,HOU,AL,15,69,61,13,16,5,0,2,6,2,0,8,15,.262,.348,.443,.790,118,27,2,0,0,0,0,4,altuvjo01
17,Jake Alu*,26,WSN,NL,4,14,13,0,3,0,0,0,0,1,0,1,3,.231,.286,.231,.516,48,3,0,0,0,0,0,/7,aluja01
18,Francisco Alvarez,21,NYM,NL,44,150,140,19,34,6,0,12,25,0,0,8,36,.243,.293,.543,.836,128,76,6,2,0,0,0,2/HD,alvarfr01
19,Yordan Alvarez*,26,HOU,AL,57,242,202,41,56,12,0,17,55,0,0,32,55,.277,.388,.589,.978,166,119,5,6,0,2,2,D7,alvaryo01
